geoid,name,state,type,geoid_type,cdbg_fy25
1349008,Macon-Bibb County,GA,Principal City,place,1834622
1349756,Marietta,GA,Principal City,place,417640
1366668,Rome,GA,Principal City,place,418859
1367284,Roswell,GA,Principal City,place,400668
1368516,Sandy Springs,GA,Principal City,place,485216
1369000,Savannah,GA,Principal City,place,2212947
1372122,South Fulton,GA,Metro City,place,534631
1378800,Valdosta,GA,Principal City,place,600391
1380508,Warner Robins,GA,Principal City,place,495380
15001,Hawaii Co,HI,Hawaii County,county,2743195
15003,Honolulu,HI,Principal City,county,7882630
15007,Kauai,HI,Hawaii County,county,738234
15009,Maui Co,HI,Hawaii County,county,1889272
1608830,Boise,ID,Principal City,place,1367844
1612250,Caldwell,ID,Metro City,place,464994
1616750,Coeur D'Alene,ID,Principal City,place,290998
1639700,Idaho Falls,ID,Principal City,place,412342
1646540,Lewiston,ID,Principal City,place,251391
1652120,Meridian,ID,Metro City,place,523218
1656260,Nampa,ID,Metro City,place,653242
1664090,Pocatello,ID,Principal City,place,380283
1682810,Twin Falls,ID,Principal City,place,332639
1702154,Arlington Heights,IL,Principal City,place,332747
1703012,Aurora,IL,Metro City,place,1192246
1705573,Berwyn,IL,Metro City,place,1410085
1706613,Bloomington,IL,Principal City,place,543236
1712385,Champaign,IL,Principal City,place,766743
1714000,Chicago,IL,Principal City,place,74498058
1714351,Cicero,IL,Metro City,place,1751533
17031,Cook County,IL,Urban County,county,10516157
1718563,Danville,IL,Principal City,place,946586
1718823,Decatur,IL,Principal City,place,1313759
1719161,Dekalb,IL,Metro City,place,400667
1719642,Des Plaines,IL,Principal City,place,316052
17043,Dupage County,IL,Urban County,county,3703858
1723074,Elgin,IL,Principal City,place,763920
1724582,Evanston,IL,Principal City,place,1699600
1735411,Hoffman Estates,IL,Principal City,place,229562
1738570,Joliet,IL,Metro City,place,926791
17089,Kane County,IL,Urban County,county,1260181
1738934,Kankakee,IL,Principal City,place,589549
17097,Lake County,IL,Urban County,county,2890601
17119,Madison County,IL,Urban County,county,2773468
17111,Mchenry County,IL,Urban County,county,1308967
1749867,Moline,IL,Principal City,place,817172
1751089,Mount Prospect,IL,Metro City,place,292098
1751622,Naperville,IL,Principal City,place,566641
1753234,Normal,IL,Metro City,place,451114
1754885,Oak Park,IL,Metro City,place,1574409
1757225,Palatine Village,IL,Metro City,place,462638
1758447,Pekin,IL,Metro City,place,438443
1759000,Peoria,IL,Principal City,place,1828722
1762783,Rantoul,IL,Metro City,place,314842
1765078,Rock Island,IL,Principal City,place,1037034
1765000,Rockford,IL,Principal City,place,2254724
1768003,Schaumburg Village,IL,Principal City,place,403348
1770122,Skokie,IL,Principal City,place,532514
1772000,Springfield,IL,Principal City,place,1288399
17163,St. Clair County,IL,Urban County,county,3438146
1777005,Urbana,IL,Principal City,place,392195
1779293,Waukegan,IL,Metro City,place,735595
17197,Will County,IL,Urban County,county,2089349
1801468,Anderson,IN,Principal City,place,916076
1805860,Bloomington,IN,Principal City,place,778293
1814734,Columbus,IN,Principal City,place,302484
1819486,East Chicago,IN,Metro City,place,1219342
1820728,Elkhart,IN,Principal City,place,712246
1822000,Evansville,IN,Principal City,place,2485311
1825000,Fort Wayne,IN,Principal City,place,1880267
1827000,Gary,IN,Principal City,place,3210180
1828386,Goshen,IN,Principal City,place,274772
1829898,Greenwood,IN,Metro City,place,292739
