geoid,safmr_median,n_zips
3941720,1180.0,20
3907972,1030.0,14
3977000,1030.0,182
3970380,1010.0,17
3974608,940.0,24
3925256,1070.0,28
3944856,1080.0,37
3949056,1340.0,13
3916000,1050.0,247
3961000,1270.0,35
3941664,1250.0,20
3916014,1370.0,30
3923380,1010.0,18
3925704,1190.0,27
3901420,940.0,19
3903828,1010.0,21
3901000,1070.0,155
3919778,1130.0,36
3939872,1120.0,15
3988000,890.0,63
3980892,880.0,38
3948244,960.0,35
3912000,970.0,94
3947138,965.0,68
3949840,1195.0,34
3933012,1220.0,33
3915000,1130.0,234
3940040,1080.0,50
3921000,1010.0,125
3925914,1110.0,25
3947628,900.0,14
3943554,990.0,37
1851876,1000.0,49
1801468,1100.0,49
1840788,1150.0,50
1840392,990.0,30
1829898,1510.0,30
1814734,1220.0,39
1819486,930.0,15
1831000,1190.0,29
1842246,1020.0,16
1848798,1020.0,16
1827000,1100.0,52
1820728,1070.0,42
1828386,1090.0,25
1849932,1070.0,35
1871000,1100.0,92
1825000,1200.0,170
1838358,1350.0,29
1852326,1270.0,22
1805860,1205.0,52
1822000,1070.0,93
1875428,1010.0,47
1882862,1160.0,19
2670040,1530.0,24
2627440,1820.0,41
2674900,1550.0,34
2670760,1400.0,32
2665820,1170.0,11
2669800,1400.0,21
2676460,1400.0,41
2684000,1330.0,55
2621000,1520.0,32
2621020,1420.0,18
2679000,1170.0,24
2622000,1170.0,404
2686000,1360.0,25
2647800,1190.0,11
2649000,1550.0,44
2655020,1180.0,9
2665440,1220.0,29
2629000,960.0,64
2670520,1030.0,35
2606020,940.0,16
2653780,1140.0,29
2624120,1270.0,36
2646000,1120.0,96
2642160,1140.0,51
2665560,1140.0,19
2605920,1060.0,40
2607520,1010.0,12
2657760,1090.0,9
2641420,1110.0,30
2616480,1205.0,2
2634000,1450.0,97
2688940,1380.0,32
2638640,1310.0,14
2656320,1160.0,22
2659140,1190.0,11
2656360,1220.0,4
2680340,1260.0,13
1921000,1160.0,123
1901855,1050.0,32
1983910,1210.0,41
1982425,970.0,63
1911755,1100.0,25
1973335,1050.0,74
1916860,1100.0,32
1922395,980.0,39
1912000,990.0,102
1938595,1130.0,43
1919000,1020.0,77
5526275,1020.0,25
5553000,1140.0,332
5572975,1010.0,22
5539225,1410.0,75
5566000,1150.0,47
5584675,1370.0,27
5585300,1220.0,27
5537825,1150.0,29
5548000,1495.0,146
5506500,1120.0,16
5502375,1070.0,50
5531000,1120.0,49
5584475,1040.0,22
5540775,1180.0,31
5522300,1090.0,43
5578650,1050.0,14
5560500,1040.0,28
5555750,1170.0,17
2771428,2180.0,22
2758000,1470.0,137
2751730,2070.0,27
2756896,1250.0,41
2718116,2270.0,20
2743000,1630.0,200
2706616,1880.0,30
2717000,1150.0,64
2754880,1360.0,63
2739878,1170.0,34
2743864,1040.0,23
4659020,1035.0,94
4652980,1120.0,43
3825700,940.0,59
3832060,1040.0,29
3807200,1000.0,25
3853380,970.0,39
3006550,1240.0,59
3008950,1735.0,34
3032800,1095.0,48
3050200,1270.0,46
1779293,1610.0,57
1702154,1900.0,51
1757225,1900.0,39
1751089,1870.0,39
1719642,1840.0,39
1768003,2050.0,78
1714000,1670.0,1127
1735411,2080.0,61
1770122,1910.0,27
1724582,2370.0,22
1723074,1850.0,74
1719161,1310.0,20
1754885,1800.0,21
1751622,2250.0,72
1705573,1600.0,12
1714351,1460.0,17
1738570,1660.0,116
1703012,1990.0,93
1738934,1140.0,22
1762783,965.0,14
1765000,1150.0,110
1765078,990.0,25
1749867,1010.0,38
1759000,1030.0,100
1758447,920.0,32
1706613,1030.0,70
1753234,1010.0,31
1718823,1000.0,74
1777005,1050.0,34
1712385,1170.0,59
1718563,1010.0,28
1772000,1100.0,99
2924778,1335.0,38
2965000,1140.0,202
2954074,1370.0,56
2911242,990.0,30
2938000,1350.0,376
2906652,1390.0,39
2935000,1210.0,87
2941348,1430.0,63
2964550,1080.0,70
2937592,1055.0,46
2915670,1000.0,50
2937000,900.0,28
2970000,980.0,127
2039000,1140.0,23
2038900,1140.0,47
2036000,1200.0,94
2053775,1700.0,103
2071000,1010.0,104
2064500,1460.0,45
2044250,1010.0,22
2079000,1000.0,267
3128000,1160.0,182
3103950,1360.0,35
3137000,1260.0,281
3119595,1130.0,37
2239475,1380.0,27
2255000,1510.0,266
2275425,1140.0,7
2232755,1150.0,35
2270805,1500.0,29
2240735,1070.0,84
2241155,1070.0,47
2205000,1200.0,143
2270000,980.0,129
2208920,1170.0,37
2251410,1030.0,39
2200975,990.0,42
0555310,880.0,40
0568810,1030.0,22
0533400,1040.0,37
0541000,1070.0,125
0534750,990.0,16
0515190,1000.0,27
0550450,1050.0,45
0574540,1170.0,23
0535710,950.0,51
0523290,1110.0,61
0566080,1100.0,57
0560410,1185.0,52
0505320,1220.0,48
0524550,910.0,52
4023200,1380.0,51
4055000,1190.0,491
4048350,1160.0,51
4049200,1240.0,43
4052500,1200.0,60
4041850,950.0,51
4023950,980.0,42
4075000,1180.0,297
4066800,990.0,33
4813024,1950.0,71
4819000,1800.0,683
4801924,2440.0,30
4858016,2200.0,105
4845744,2580.0,76
4842508,2010.0,66
4867496,1310.0,35
4837000,1750.0,111
4819900,1250.0,21
4826232,2740.0,57
4827684,2580.0,72
4863572,2390.0,31
4829000,1810.0,111
4847892,1800.0,76
4830464,1780.0,85
4804000,1770.0,161
4827000,1695.0,384
4819972,1930.0,86
4820092,1890.0,27
4872368,1050.0,26
4843888,1190.0,58
4846776,1200.0,20
4874144,1350.0,84
4879000,1090.0,65
4872176,1225.0,54
4839148,1220.0,73
