Jurisdiction,State,lat,lon,Outcome,CDBG ($),Adjustment ($),Net homes added
Riverside,CA,33.938143,-117.393168,Exempt — recent disaster,2849347,0,2805.0
Riverside County,CA,33.729828,-116.002239,Exempt — recent disaster,7689351,0,1809.0
Rocklin,CA,38.806868,-121.249696,Exempt — recent disaster,296156,0,559.0
Rosemead,CA,34.06888,-118.08268,Exempt — recent disaster,533439,0,227.0
Roseville,CA,38.770296,-121.319634,Exempt — recent disaster,701373,0,1135.0
Sacramento,CA,38.567694,-121.468161,Exempt — recent disaster,4638977,0,1864.0
Sacramento County,CA,38.450136,-121.344329,Exempt — recent disaster,6030715,0,2012.0
Salinas,CA,36.690217,-121.633793,Exempt — recent disaster,2179417,0,43.0
San Bernardino,CA,34.14114,-117.294635,Exempt — recent disaster,2712293,0,961.0
San Bernardino Co.,CA,34.856661,-116.181571,Exempt — recent disaster,6686990,0,1220.0
San Buenaventura,CA,34.26778,-119.254206,Exempt — recent disaster,704658,0,-449.0
San Clemente,CA,33.449143,-117.61312,Exempt — recent disaster,310995,0,408.0
San Diego,CA,32.814977,-117.135562,Exempt — recent disaster,11028872,0,9015.0
San Diego County,CA,33.023604,-116.776117,Exempt — recent disaster,4232730,0,-243.0
San Francisco,CA,37.727239,-123.032229,Exempt — recent disaster,18798493,0,3060.0
San Joaquin County,CA,37.934982,-121.272244,Exempt — recent disaster,2941788,0,3325.0
San Jose,CA,37.296011,-121.814552,Exempt — recent disaster,7836902,0,2008.0
San Leandro,CA,37.703368,-122.163036,Exempt — recent disaster,765834,0,-331.0
San Luis Obispo County,CA,35.388189,-120.448897,Exempt — recent disaster,1893580,0,538.0
San Marcos,CA,33.132567,-117.169892,Exempt — recent disaster,703648,0,302.0
San Mateo,CA,37.56031,-122.3106,Exempt — recent disaster,766315,0,210.0
San Mateo County,CA,37.414672,-122.371546,Exempt — recent disaster,2315528,0,786.0
Santa Ana,CA,33.736332,-117.8829,Exempt — recent disaster,4190178,0,1349.0
Santa Barbara,CA,34.403592,-119.713714,Exempt — recent disaster,847812,0,189.0
Santa Barbara Co.,CA,34.536677,-120.038364,Exempt — recent disaster,1177513,0,230.0
Santa Clara,CA,37.364621,-121.967973,Exempt — recent disaster,1019135,0,1135.0
Santa Clara County,CA,37.221614,-121.68954,Exempt — recent disaster,1380034,0,-865.0
Santa Clarita,CA,34.416504,-118.500693,Exempt — recent disaster,1453594,0,273.0
Santa Cruz,CA,36.974385,-122.035268,Exempt — recent disaster,527892,0,110.0
